feedback_text,count,percent
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, khi xét cảm giác phục hồi.",89,0.6138
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, sau vài set đầu.",86,0.5931
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, trong buổi tập này.",85,0.5862
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, trong lần đánh giá hôm nay.",84,0.5793
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, sau vài set đầu.",83,0.5724
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, khi xét cảm giác phục hồi.",83,0.5724
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, ở bối cảnh lịch tập này.",81,0.5586
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, khi so với khả năng hiện tại.",80,0.5517
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, trong lần đánh giá hôm nay.",80,0.5517
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, trong buổi tập này.",80,0.5517
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, khi so với khả năng hiện tại.",78,0.5379
"Kế hoạch hiện tại dùng được, nhưng tôi muốn theo dõi thêm trước khi tăng hoặc giảm khối lượng. Mức đánh giá 3/5, trong nhịp tập tuần này.",57,0.3931
"Kế hoạch hiện tại dùng được, nhưng tôi muốn theo dõi thêm trước khi tăng hoặc giảm khối lượng. Mức đánh giá 3/5, khi theo giáo án hiện tại.",54,0.3724
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 5/5, khi theo giáo án hiện tại.",53,0.3655
"Kế hoạch hiện tại dùng được, nhưng tôi muốn theo dõi thêm trước khi tăng hoặc giảm khối lượng. Mức đánh giá 3/5, khi tập với mức hiện tại.",51,0.3517
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, khi tập với mức hiện tại.",51,0.3517
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 5/5, trong nhịp tập tuần này.",48,0.331
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 4/5, khi theo giáo án hiện tại.",48,0.331
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 4/5, khi tập với mức hiện tại.",48,0.331
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, khi theo giáo án hiện tại.",47,0.3241
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 5/5, ở phần cuối buổi.",46,0.3172
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 4/5, trong nhịp tập tuần này.",46,0.3172
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, khi tập với mức hiện tại.",46,0.3172
"Kế hoạch hiện tại dùng được, nhưng tôi muốn theo dõi thêm trước khi tăng hoặc giảm khối lượng. Mức đánh giá 3/5, ở lần ghi nhận gần đây.",45,0.3103
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, ở lần ghi nhận gần đây.",44,0.3034
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 4/5, sau khi hoàn thành phần chính.",43,0.2966
"Kế hoạch hiện tại dùng được, nhưng tôi muốn theo dõi thêm trước khi tăng hoặc giảm khối lượng. Mức đánh giá 3/5, sau khi hoàn thành phần chính.",43,0.2966
"Tôi thấy Glute Bridge March bình thường, độ khó tương đối ổn nhưng chưa phải bài tôi thích nhất. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, ở phần cuối buổi.",43,0.2966
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, ở bối cảnh lịch tập này.",41,0.2828
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, ở phần cuối buổi.",41,0.2828
"Bài Glute Bridge March dùng được, hiện tại tôi muốn giữ lựa chọn mở thay vì đổi ngay. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, khi theo giáo án hiện tại.",41,0.2828
"Bài Glute Bridge March dùng được, hiện tại tôi muốn giữ lựa chọn mở thay vì đổi ngay. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, ở bối cảnh lịch tập này.",41,0.2828
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, trong lần đánh giá hôm nay.",40,0.2759
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 4/5, ở lần ghi nhận gần đây.",40,0.2759
"Glute Bridge March ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, sau vài set đầu.",40,0.2759
"Bài Glute Bridge March dùng được, hiện tại tôi muốn giữ lựa chọn mở thay vì đổi ngay. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, sau khi hoàn thành phần chính.",40,0.2759
"Glute Bridge March ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, ở lần ghi nhận gần đây.",40,0.2759
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, khi so với khả năng hiện tại.",39,0.269
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 5/5, khi tập với mức hiện tại.",39,0.269
"Kế hoạch hiện tại dùng được, nhưng tôi muốn theo dõi thêm trước khi tăng hoặc giảm khối lượng. Mức đánh giá 3/5, ở phần cuối buổi.",39,0.269
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 5/5, ở lần ghi nhận gần đây.",39,0.269
"Tôi thấy Glute Bridge March bình thường, độ khó tương đối ổn nhưng chưa phải bài tôi thích nhất. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, trong buổi tập này.",39,0.269
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 1/5, trong nhịp tập tuần này.",38,0.2621
"Glute Bridge March ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, trong nhịp tập tuần này.",38,0.2621
"Glute Bridge March ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, trong lần đánh giá hôm nay.",38,0.2621
"Tôi thích Glute Bridge March, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, trong lần đánh giá hôm nay.",38,0.2621
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 2/5, trong nhịp tập tuần này.",37,0.2552
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, trong nhịp tập tuần này.",37,0.2552
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, sau vài set đầu.",36,0.2483
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, trong buổi tập này.",36,0.2483
"Tôi thấy Glute Bridge March bình thường, độ khó tương đối ổn nhưng chưa phải bài tôi thích nhất. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, khi tập với mức hiện tại.",36,0.2483
"Bài Glute Bridge March dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, khi theo giáo án hiện tại.",36,0.2483
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 2/5, khi theo giáo án hiện tại.",35,0.2414
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, khi xét cảm giác phục hồi.",35,0.2414
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, sau khi hoàn thành phần chính.",35,0.2414
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, trong buổi tập này.",35,0.2414
"Tôi thấy Glute Bridge March bình thường, độ khó tương đối ổn nhưng chưa phải bài tôi thích nhất. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, khi xét cảm giác phục hồi.",35,0.2414
"Bài Glute Bridge March dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, khi so với khả năng hiện tại.",35,0.2414
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 4/5, ở phần cuối buổi.",34,0.2345
"Tôi thấy Push-Up bình thường, độ khó tương đối ổn nhưng chưa phải bài tôi thích nhất. Lý do chính: Monitor. Mức đánh giá 3/5, ở phần cuối buổi.",33,0.2276
"Tổng thể giáo án hợp với lịch và mục tiêu của tôi, nên tôi muốn giữ cấu trúc này thêm vài tuần. Mức đánh giá 5/5, sau khi hoàn thành phần chính.",32,0.2207
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 1/5, ở phần cuối buổi.",30,0.2069
"Tôi thích Glute Bridge March, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, ở lần ghi nhận gần đây.",30,0.2069
"Tôi thích Glute Bridge March, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, sau vài set đầu.",29,0.2
"Bài Glute Bridge March dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, ở bối cảnh lịch tập này.",29,0.2
"Bài Push-Up dùng được, hiện tại tôi muốn giữ lựa chọn mở thay vì đổi ngay. Lý do chính: Monitor. Mức đánh giá 3/5, khi theo giáo án hiện tại.",28,0.1931
"Push-Up ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Monitor. Mức đánh giá 3/5, ở lần ghi nhận gần đây.",28,0.1931
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 2/5, sau khi hoàn thành phần chính.",28,0.1931
"Tôi thích Glute Bridge March, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, trong nhịp tập tuần này.",28,0.1931
"Tôi thấy Push-Up bình thường, độ khó tương đối ổn nhưng chưa phải bài tôi thích nhất. Lý do chính: Monitor. Mức đánh giá 3/5, khi tập với mức hiện tại.",27,0.1862
"Push-Up ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Monitor. Mức đánh giá 3/5, trong nhịp tập tuần này.",27,0.1862
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 2/5, ở lần ghi nhận gần đây.",27,0.1862
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 1/5, ở lần ghi nhận gần đây.",27,0.1862
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 1/5, khi theo giáo án hiện tại.",27,0.1862
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, khi xét cảm giác phục hồi.",27,0.1862
"Bài Push-Up dùng được, hiện tại tôi muốn giữ lựa chọn mở thay vì đổi ngay. Lý do chính: Monitor. Mức đánh giá 3/5, sau khi hoàn thành phần chính.",26,0.1793
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 2/5, khi tập với mức hiện tại.",26,0.1793
"Bài Glute Bridge March dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, sau khi hoàn thành phần chính.",26,0.1793
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 1/5, khi tập với mức hiện tại.",25,0.1724
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 1/5, sau khi hoàn thành phần chính.",25,0.1724
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, ở phần cuối buổi.",25,0.1724
"Bài Glute Bridge March dùng được, hiện tại tôi muốn giữ lựa chọn mở thay vì đổi ngay. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, khi so với khả năng hiện tại.",25,0.1724
"Tôi thấy Push-Up đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi tập với mức hiện tại.",24,0.1655
"Push-Up khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.",23,0.1586
"Bài Push-Up vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi theo giáo án hiện tại.",23,0.1586
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, sau vài set đầu.",23,0.1586
"Tôi không hợp Glute Bridge March lắm, cảm giác kiểm soát chưa tốt nên nên cân nhắc thay thế. Lý do chính: Negative, Too Hard. Mức đánh giá 2/5, khi xét cảm giác phục hồi.",23,0.1586
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, khi tập với mức hiện tại.",23,0.1586
"Bài Glute Bridge March dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, sau khi hoàn thành phần chính.",22,0.1517
"Bài Glute Bridge March dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, ở bối cảnh lịch tập này.",22,0.1517
"Bài Push-Up vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, sau khi hoàn thành phần chính.",21,0.1448
"Tôi thấy Push-Up đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi tập với mức hiện tại.",20,0.1379
"Tôi thấy Push-Up đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở phần cuối buổi.",20,0.1379
"Push-Up khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, trong nhịp tập tuần này.",20,0.1379
"Buổi này hơi nặng hoặc appropriate, tôi muốn reduce volume cho lần tới. Mức đánh giá 2/5, ở phần cuối buổi.",20,0.1379
"Tôi thích Glute Bridge March, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, ở lần ghi nhận gần đây.",20,0.1379
"Bài Push-Up vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, khi theo giáo án hiện tại.",19,0.131
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, khi xét cảm giác phục hồi.",19,0.131
"Bài Glute Bridge March dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, khi theo giáo án hiện tại.",19,0.131
"Tôi thích Cable Kickback, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, trong lần đánh giá hôm nay.",19,0.131
"Push-Up khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, ở lần ghi nhận gần đây.",18,0.1241
"Bài Glute Bridge March vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Positive, Too Easy. Mức đánh giá 5/5, khi so với khả năng hiện tại.",18,0.1241
"Glute Bridge March khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Positive, Too Easy. Mức đánh giá 5/5, sau vài set đầu.",18,0.1241
"Cable Kickback ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, trong nhịp tập tuần này.",18,0.1241
"Bài Cable Kickback dùng được, hiện tại tôi muốn giữ lựa chọn mở thay vì đổi ngay. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, khi theo giáo án hiện tại.",18,0.1241
"Bài Cable Kickback dễ setup, cảm giác kiểm soát tốt nên tôi muốn tiếp tục duy trì. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, ở bối cảnh lịch tập này.",17,0.1172
"Push-Up phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Good fit. Mức đánh giá 5/5, khi tập với mức hiện tại.",16,0.1103
"Tôi thích Glute Bridge March, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, trong nhịp tập tuần này.",16,0.1103
"Cable Kickback ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, sau vài set đầu.",16,0.1103
"Cable Kickback ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, trong lần đánh giá hôm nay.",16,0.1103
"Tôi thấy Push-Up đang hơi nhẹ so với sức hiện tại, có thể tăng độ khó hoặc thêm volume vừa phải. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, ở phần cuối buổi.",15,0.1034
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, trong lần đánh giá hôm nay.",15,0.1034
"Bài Glute Bridge March vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Positive, Too Easy. Mức đánh giá 5/5, ở bối cảnh lịch tập này.",15,0.1034
"Cable Kickback ở mức chấp nhận được, tôi chưa có ưu tiên mạnh và muốn theo dõi thêm vài buổi. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, ở lần ghi nhận gần đây.",15,0.1034
"Cable Kickback phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, khi xét cảm giác phục hồi.",15,0.1034
"Cable Kickback phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, khi tập với mức hiện tại.",15,0.1034
"Tôi thích Cable Kickback, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 5/5, trong nhịp tập tuần này.",15,0.1034
"Bài Push-Up vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 5/5, sau khi hoàn thành phần chính.",14,0.0966
"Push-Up khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, trong nhịp tập tuần này.",14,0.0966
"Bài Bicycle Crunch vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Good fit, Too easy. Mức đánh giá 4/5, khi theo giáo án hiện tại.",14,0.0966
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, khi so với khả năng hiện tại.",14,0.0966
"Tôi muốn tiếp tục với phong cách bài tập dễ theo dõi, ít mất thời gian setup và phù hợp mục tiêu. Mức đánh giá 4/5, trong buổi tập này.",14,0.0966
"Bài Glute Bridge March làm buổi tập nặng hơn dự kiến; tôi muốn giảm độ khó hoặc đổi biến thể. Lý do chính: Negative, Too Hard. Mức đánh giá 2/5, khi theo giáo án hiện tại.",14,0.0966
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, trong buổi tập này.",14,0.0966
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, ở phần cuối buổi.",14,0.0966
"Bài Glute Bridge March vào nhịp tốt, tôi muốn progression rõ hơn để tiếp tục tiến bộ. Lý do chính: Positive, Too Easy. Mức đánh giá 5/5, sau khi hoàn thành phần chính.",14,0.0966
"Glute Bridge March khá dễ kiểm soát, tôi hoàn thành tốt và muốn tăng thử thách nhẹ ở lần tới. Lý do chính: Positive, Too Easy. Mức đánh giá 5/5, ở lần ghi nhận gần đây.",14,0.0966
"Glute Bridge March phù hợp với tôi, không gây khó chịu và giúp buổi tập có nhịp ổn. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, khi xét cảm giác phục hồi.",14,0.0966
"Tôi thích Cable Kickback, cảm giác vào cơ tốt và muốn giữ bài này trong lịch. Lý do chính: Positive, Appropriate. Mức đánh giá 4/5, ở lần ghi nhận gần đây.",14,0.0966
"Tôi thấy Cable Kickback bình thường, độ khó tương đối ổn nhưng chưa phải bài tôi thích nhất. Lý do chính: Neutral, Appropriate. Mức đánh giá 3/5, ở phần cuối buổi.",14,0.0966
"Buổi này hơi nặng hoặc too long, tôi muốn reduce volume cho lần tới. Mức đánh giá 2/5, trong buổi tập này.",14,0.0966
