sample_id,sample_source,task_type,user_id,plan_id,exercise_id,training_level,primary_goal,secondary_goal,gender,age,height_cm,weight_kg,bmi,bmi_category,training_days_per_week,preferred_split,gym_access_level,available_equipment_count,injury_count,limitation_count,exercise_category,exercise_difficulty,minimum_training_level,primary_muscle_count,secondary_muscle_count,equipment_count,technical_complexity_score,fatigue_score,mobility_requirement,balance_requirement,estimated_MET,primary_muscles,secondary_muscles,equipment,movement_pattern,joint_stress_areas,contraindications,joint_stress_count,contraindication_count,completion_rate,set_completion_rate,skipped_rate,partial_rate,average_rpe,average_fatigue,pain_rate,trend,safety_status,risk_score,risk_flag_count,contraindication_match_count,pain_match_count,sentiment_positive_count,sentiment_neutral_count,sentiment_negative_count,too_easy_count,too_hard_count,liked_exercise_count,disliked_exercise_count,pain_related_exercise_count,recommended_action,days_per_week,label_name,label_value,feedback_id,history_session_id,history_item_id,plan_item_id,rating,sentiment,difficulty_feedback,enjoyment_rating,fatigue_feedback,pain_feedback,duration_feedback,progression_preference,requested_action,feedback_reason_tag_count,actual_rpe,actual_load_kg,difficulty_rating,exercise_enjoyment,pain_during_exercise,technique_quality,session_rpe,session_completion_pct,plan_item_role,exercise_preference,pain_area_count,safety_label
REC0000012,recommendation_training_dataset,recommendation,U000012,PLAN000012,EX0067,Intermediate,Fat Loss,General Fitness,Male,28,162.0,86.1,32.81,Obese,3,Push Pull Legs,Limited Gym,3,1,1,Resistance Training,Beginner,Beginner,1,1,1,1.5,2.5,1.0,2.0,3.0,"[""Upper Trapezius""]","[""Levator Scapulae""]","[""Barbell""]",Scapular Elevation,"[""Neck"", ""Lower Back""]","[""Cervical spine pain""]",2,1,0.8158,0.9375,0.0,0.0,7.02,2.5,0.0263,,Safe,0.0,0.0,0.0,0.0,28.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,Keep,3.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000015,recommendation_training_dataset,recommendation,U000015,PLAN000015,EX0026,Intermediate,Fat Loss,General Fitness,Other,34,179.0,87.6,27.34,Overweight,6,Chest Back Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.8974,1.0,0.0,0.0,6.89,2.0,0.0,,Safe,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Keep,6.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000018,recommendation_training_dataset,recommendation,U000018,PLAN000018,EX0004,Advanced,General Fitness,Mobility and Flexibility,Female,20,166.0,64.8,23.52,Normal,2,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7188,0.9375,0.0,0.0,7.7,4.0,0.0,,Safe,0.0,0.0,0.0,0.0,18.0,14.0,2.0,0.0,0.0,1.0,1.0,0.0,Reduce Difficulty,2.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000019,recommendation_training_dataset,recommendation,U000019,PLAN000019,EX0004,Beginner,Muscle Gain,Mobility and Flexibility,Male,18,188.0,87.1,24.64,Normal,6,Auto,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8947,1.0,0.0,0.0,7.87,3.0,0.0,,Safe,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Keep,6.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000020,recommendation_training_dataset,recommendation,U000020,PLAN000020,EX0004,Beginner,Fat Loss,Muscular Endurance,Male,27,167.0,75.9,27.22,Overweight,5,Upper Lower,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7778,0.9444,0.0,0.0,7.02,2.06,0.0556,,Safe,0.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,5.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000021,recommendation_training_dataset,recommendation,U000021,PLAN000021,EX0004,Advanced,Athletic Performance,Mobility and Flexibility,Female,27,177.0,87.1,27.8,Overweight,5,Upper Lower,Commercial Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.878,0.9756,0.0,0.0,6.9,2.1,0.0,,Safe,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Keep,5.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000022,recommendation_training_dataset,recommendation,U000022,PLAN000022,EX0004,Advanced,Muscle Gain,Athletic Performance,Female,30,167.0,69.8,25.03,Overweight,6,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7436,0.9359,0.0,0.0,8.31,3.32,0.0256,,Safe,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Keep,6.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000025,recommendation_training_dataset,recommendation,U000025,PLAN000025,EX0281,Advanced,Strength,Athletic Performance,Male,23,177.0,78.3,24.99,Normal,2,Push Pull Legs,Limited Gym,3,0,0,Resistance Training,Intermediate,Intermediate,2,1,1,3.0,3.5,2.5,3.0,4.0,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Resistance Band""]",Horizontal Push,"[""Shoulder"", ""Wrist"", ""Elbow""]","[""Shoulder impingement""]",3,1,0.8438,0.9688,0.0,0.0,8.18,3.06,0.0625,,Safe,0.0,0.0,0.0,0.0,15.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,Reduce Difficulty,2.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000026,recommendation_training_dataset,recommendation,U000026,PLAN000026,EX0004,Advanced,General Fitness,Fat Loss,Male,20,176.0,78.7,25.41,Overweight,5,Chest Back Legs,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7105,0.9101,0.0,0.0,7.7,3.88,0.0,,Safe,0.0,0.0,0.0,0.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Keep,5.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000027,recommendation_training_dataset,recommendation,U000027,PLAN000027,EX0004,Intermediate,Muscle Gain,Rehabilitation and Joint Health,Female,35,152.0,46.0,19.91,Normal,4,Chest Back Legs,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.9167,0.9506,0.0,0.0,7.8,3.0,0.0,,Safe,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Keep,4.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000028,recommendation_training_dataset,recommendation,U000028,PLAN000028,EX0160,Beginner,Mobility and Flexibility,Rehabilitation and Joint Health,Prefer not to say,32,159.0,55.5,21.95,Normal,4,Auto,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,1.5,1.5,1.0,3.0,"[""Rectus Abdominis""]","[""Obliques"", ""Hip Flexors""]","[""Mat""]",Trunk Flexion,"[""Lower Back""]","[""Lumbar disc herniation""]",1,1,0.7805,0.9268,0.0,0.0,6.02,2.08,0.0732,,Safe,0.0,0.0,0.0,0.0,18.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,4.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000030,recommendation_training_dataset,recommendation,U000030,PLAN000030,EX0227,Beginner,Muscle Gain,General Fitness,Female,35,174.0,66.5,21.96,Normal,2,Auto,Bodyweight Only,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,3.5,1.5,2.5,3.0,6.5,"[""Core"", ""Hip Flexors""]","[""Shoulders (Deltoids)"", ""Triceps Brachii"", ""Quadriceps""]","[""Mat""]",Total Body Integration,"[""Wrist"", ""Shoulder""]","[""Wrist pain""]",2,1,0.7188,0.9076,0.0,0.0,8.34,3.03,0.0312,,Safe,0.0,0.0,0.0,0.0,23.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,Keep,2.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000031,recommendation_training_dataset,recommendation,U000031,PLAN000031,EX0004,Intermediate,General Fitness,Rehabilitation and Joint Health,Male,18,179.0,60.9,19.01,Normal,3,Chest Back Legs,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7714,0.944,0.0,0.0,7.05,2.18,0.1143,,Safe,0.0,0.0,0.0,0.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,3.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000032,recommendation_training_dataset,recommendation,U000032,PLAN000032,EX0227,Advanced,Fat Loss,Muscle Gain,Male,38,170.0,77.1,26.68,Overweight,3,Upper Lower,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,3.5,1.5,2.5,3.0,6.5,"[""Core"", ""Hip Flexors""]","[""Shoulders (Deltoids)"", ""Triceps Brachii"", ""Quadriceps""]","[""Mat""]",Total Body Integration,"[""Wrist"", ""Shoulder""]","[""Wrist pain""]",2,1,0.7,0.9,0.0,0.0,7.71,4.06,0.05,,Safe,0.0,0.0,0.0,0.0,19.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,Reduce Difficulty,3.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000033,recommendation_training_dataset,recommendation,U000033,PLAN000033,EX0194,Intermediate,Fat Loss,Muscular Endurance,Female,21,166.0,73.6,26.71,Overweight,3,Upper Lower,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,3,4,1,4.5,3.0,1.0,3.0,8.0,"[""Quadriceps"", ""Pectoralis Major"", ""Gluteus Maximus""]","[""Triceps Brachii"", ""Anterior Deltoid"", ""Hamstrings"", ""Calves""]","[""Bodyweight""]",Total Body Integration,"[""Wrist"", ""Knee"", ""Lower Back""]",[],3,0,0.7632,0.9211,0.0,0.0,7.48,2.54,0.0526,,Monitor,0.25,1.0,0.0,0.0,13.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,3.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000035,recommendation_training_dataset,recommendation,U000035,PLAN000035,EX0004,Intermediate,Muscle Gain,Muscular Endurance,Female,21,161.0,66.5,25.65,Overweight,2,Upper Lower,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8125,0.9375,0.0,0.0,8.23,3.5,0.0312,,Safe,0.0,0.0,0.0,0.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,2.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000038,recommendation_training_dataset,recommendation,U000038,PLAN000038,EX0004,Advanced,Strength,Rehabilitation and Joint Health,Male,28,161.0,57.4,22.14,Normal,6,Body Part Split,Bodyweight Only,2,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8286,0.9826,0.0,0.0,8.2,3.0,0.0,,Safe,0.0,0.0,0.0,0.0,20.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,Keep,6.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000039,recommendation_training_dataset,recommendation,U000039,PLAN000039,EX0026,Advanced,Mobility and Flexibility,Rehabilitation and Joint Health,Female,21,158.0,53.9,21.59,Normal,4,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.725,0.9,0.0,0.0,6.72,3.06,0.05,,Safe,0.0,0.0,0.0,0.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,4.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000040,recommendation_training_dataset,recommendation,U000040,PLAN000040,EX0080,Intermediate,Rehabilitation and Joint Health,Muscle Gain,Male,22,187.0,76.4,21.85,Normal,4,Chest Back Legs,Limited Gym,5,1,1,Resistance Training,Beginner,Beginner,1,2,1,1.5,1.5,2.0,1.5,2.5,"[""Anterior Deltoid""]","[""Lateral Deltoid"", ""Pectoralis Major (Clavicular Head)""]","[""Dumbbell""]",Vertical Push,"[""Shoulder""]","[""Shoulder impingement""]",1,1,0.7632,0.9417,0.0,0.0,5.32,1.71,0.0526,,Safe,0.0,0.0,0.0,0.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,4.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000042,recommendation_training_dataset,recommendation,U000042,PLAN000042,EX0003,Intermediate,General Fitness,Fat Loss,Male,36,185.0,73.2,21.39,Normal,4,Upper Lower,Commercial Gym,5,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.7805,0.9512,0.0,0.0,7.01,2.03,0.0244,,Safe,0.0,0.0,0.0,0.0,18.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,Keep,4.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000043,recommendation_training_dataset,recommendation,U000043,PLAN000043,EX0004,Advanced,Athletic Performance,Strength,Male,26,160.0,61.1,23.87,Normal,3,Body Part Split,Bodyweight Only,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.6923,0.9252,0.0,0.0,7.72,4.03,0.0256,,Safe,0.0,0.0,0.0,0.0,27.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,Reduce Difficulty,3.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000044,recommendation_training_dataset,recommendation,U000044,PLAN000044,EX0004,Advanced,Muscular Endurance,Fat Loss,Male,34,167.0,70.2,25.17,Overweight,3,Chest Back Legs,Commercial Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7568,0.9059,0.0,0.0,7.15,2.15,0.0541,,Monitor,0.25,1.0,0.0,0.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,3.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000046,recommendation_training_dataset,recommendation,U000046,PLAN000046,EX0095,Advanced,Athletic Performance,Strength,Male,57,169.0,62.3,21.81,Normal,4,Push Pull Legs,Commercial Gym,3,0,0,Resistance Training,Intermediate,Intermediate,2,3,1,4.0,4.5,3.5,3.5,5.5,"[""Anterior Deltoid"", ""Triceps Brachii""]","[""Quadriceps"", ""Gluteus Maximus"", ""Lateral Deltoid""]","[""Barbell""]",Vertical Push,"[""Shoulder"", ""Knee"", ""Lower Back""]","[""Shoulder impingement"", ""Lumbar spine instability""]",3,2,0.875,0.9707,0.0,0.0,6.98,2.0,0.0,,Safe,0.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Keep,4.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
