sample_id,user_id,exercise_id,training_level,primary_goal,secondary_goal,gender,age,height_cm,weight_kg,bmi,bmi_category,training_days_per_week,preferred_split,gym_access_level,available_equipment_count,injury_count,limitation_count,exercise_category,exercise_difficulty,minimum_training_level,primary_muscle_count,secondary_muscle_count,equipment_count,technical_complexity_score,fatigue_score,mobility_requirement,balance_requirement,estimated_MET,primary_muscles,secondary_muscles,equipment,movement_pattern,joint_stress_areas,contraindications,joint_stress_count,contraindication_count,pain_rate,pain_feedback,pain_area_count,pain_during_exercise,pain_match_count,contraindication_match_count,risk_flag_count,risk_score,safety_label
SAFE0000013,U000013,EX0004,Advanced,Muscular Endurance,Mobility and Flexibility,Female,39,164.0,65.8,24.46,Normal,6,Upper Lower,Commercial Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000014,U000014,EX0004,Advanced,Muscular Endurance,Rehabilitation and Joint Health,Male,19,168.0,75.1,26.61,Overweight,3,Chest Back Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000015,U000015,EX0026,Intermediate,Fat Loss,General Fitness,Other,34,179.0,87.6,27.34,Overweight,6,Chest Back Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000016,U000016,EX0004,Beginner,Muscle Gain,Strength,Male,21,188.0,67.6,19.13,Normal,5,Upper Lower,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0541,,0,,0,0,0,0.0,Safe
SAFE0000017,U000017,EX0067,Beginner,Strength,Athletic Performance,Male,29,185.0,89.3,26.09,Overweight,4,Auto,Limited Gym,3,0,0,Resistance Training,Beginner,Beginner,1,1,1,1.5,2.5,1.0,2.0,3.0,"[""Upper Trapezius""]","[""Levator Scapulae""]","[""Barbell""]",Scapular Elevation,"[""Neck"", ""Lower Back""]","[""Cervical spine pain""]",2,1,0.0571,,0,,0,0,0,0.0,Safe
SAFE0000018,U000018,EX0004,Advanced,General Fitness,Mobility and Flexibility,Female,20,166.0,64.8,23.52,Normal,2,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000019,U000019,EX0004,Beginner,Muscle Gain,Mobility and Flexibility,Male,18,188.0,87.1,24.64,Normal,6,Auto,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000020,U000020,EX0004,Beginner,Fat Loss,Muscular Endurance,Male,27,167.0,75.9,27.22,Overweight,5,Upper Lower,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0556,,0,,0,0,0,0.0,Safe
SAFE0000021,U000021,EX0004,Advanced,Athletic Performance,Mobility and Flexibility,Female,27,177.0,87.1,27.8,Overweight,5,Upper Lower,Commercial Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000022,U000022,EX0004,Advanced,Muscle Gain,Athletic Performance,Female,30,167.0,69.8,25.03,Overweight,6,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0256,,0,,0,0,0,0.0,Safe
SAFE0000023,U000023,EX0201,Beginner,Athletic Performance,General Fitness,Other,29,165.0,65.5,24.06,Normal,3,Upper Lower,Commercial Gym,3,1,1,Resistance Training,Beginner,Beginner,2,2,1,1.5,4.5,4.0,4.0,4.0,"[""Quadriceps"", ""Gluteus Maximus""]","[""Hamstrings"", ""Adductor Magnus""]","[""Leg Press Machine""]",Squat,"[""Knee"", ""Hip""]","[""Severe knee osteoarthritis""]",2,1,0.0,,0,,0,0,0,0.0,Safe
SAFE0000024,U000024,EX0004,Intermediate,Muscular Endurance,Fat Loss,Female,53,163.0,52.8,19.87,Normal,4,Chest Back Legs,Home Gym,3,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0286,,0,,0,0,0,0.0,Safe
SAFE0000025,U000025,EX0281,Advanced,Strength,Athletic Performance,Male,23,177.0,78.3,24.99,Normal,2,Push Pull Legs,Limited Gym,3,0,0,Resistance Training,Intermediate,Intermediate,2,1,1,3.0,3.5,2.5,3.0,4.0,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Resistance Band""]",Horizontal Push,"[""Shoulder"", ""Wrist"", ""Elbow""]","[""Shoulder impingement""]",3,1,0.0625,,0,,0,0,0,0.0,Safe
SAFE0000026,U000026,EX0004,Advanced,General Fitness,Fat Loss,Male,20,176.0,78.7,25.41,Overweight,5,Chest Back Legs,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000027,U000027,EX0004,Intermediate,Muscle Gain,Rehabilitation and Joint Health,Female,35,152.0,46.0,19.91,Normal,4,Chest Back Legs,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000028,U000028,EX0160,Beginner,Mobility and Flexibility,Rehabilitation and Joint Health,Prefer not to say,32,159.0,55.5,21.95,Normal,4,Auto,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,1.5,1.5,1.0,3.0,"[""Rectus Abdominis""]","[""Obliques"", ""Hip Flexors""]","[""Mat""]",Trunk Flexion,"[""Lower Back""]","[""Lumbar disc herniation""]",1,1,0.0732,,0,,0,0,0,0.0,Safe
SAFE0000029,U000029,EX0026,Intermediate,Mobility and Flexibility,Strength,Female,27,158.0,49.0,19.63,Normal,4,Chest Back Legs,Commercial Gym,4,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.0513,,0,,0,0,0,0.0,Safe
SAFE0000030,U000030,EX0227,Beginner,Muscle Gain,General Fitness,Female,35,174.0,66.5,21.96,Normal,2,Auto,Bodyweight Only,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,3.5,1.5,2.5,3.0,6.5,"[""Core"", ""Hip Flexors""]","[""Shoulders (Deltoids)"", ""Triceps Brachii"", ""Quadriceps""]","[""Mat""]",Total Body Integration,"[""Wrist"", ""Shoulder""]","[""Wrist pain""]",2,1,0.0312,,0,,0,0,0,0.0,Safe
SAFE0000031,U000031,EX0004,Intermediate,General Fitness,Rehabilitation and Joint Health,Male,18,179.0,60.9,19.01,Normal,3,Chest Back Legs,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.1143,,0,,0,0,0,0.0,Safe
SAFE0000032,U000032,EX0227,Advanced,Fat Loss,Muscle Gain,Male,38,170.0,77.1,26.68,Overweight,3,Upper Lower,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,3.5,1.5,2.5,3.0,6.5,"[""Core"", ""Hip Flexors""]","[""Shoulders (Deltoids)"", ""Triceps Brachii"", ""Quadriceps""]","[""Mat""]",Total Body Integration,"[""Wrist"", ""Shoulder""]","[""Wrist pain""]",2,1,0.05,,0,,0,0,0,0.0,Safe
SAFE0000033,U000033,EX0194,Intermediate,Fat Loss,Muscular Endurance,Female,21,166.0,73.6,26.71,Overweight,3,Upper Lower,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,3,4,1,4.5,3.0,1.0,3.0,8.0,"[""Quadriceps"", ""Pectoralis Major"", ""Gluteus Maximus""]","[""Triceps Brachii"", ""Anterior Deltoid"", ""Hamstrings"", ""Calves""]","[""Bodyweight""]",Total Body Integration,"[""Wrist"", ""Knee"", ""Lower Back""]",[],3,0,0.0526,,0,,0,0,1,0.25,Monitor
SAFE0000034,U000034,EX0059,Advanced,Mobility and Flexibility,Rehabilitation and Joint Health,Other,37,175.0,67.3,21.98,Normal,6,Push Pull Legs,Commercial Gym,4,0,0,Resistance Training,Beginner,Beginner,1,1,1,1.0,2.0,1.0,2.0,3.0,"[""Upper Trapezius""]","[""Levator Scapulae""]","[""Dumbbell""]",Scapular Elevation,"[""Neck"", ""Shoulder""]","[""Cervical spine issues"", ""Neck spasms""]",2,2,0.0,,0,,0,0,0,0.0,Safe
SAFE0000035,U000035,EX0004,Intermediate,Muscle Gain,Muscular Endurance,Female,21,161.0,66.5,25.65,Overweight,2,Upper Lower,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0312,,0,,0,0,0,0.0,Safe
SAFE0000036,U000036,EX0032,Beginner,Strength,Muscle Gain,Male,31,179.0,83.9,26.19,Overweight,4,Upper Lower,Commercial Gym,5,1,1,Resistance Training,Beginner,Beginner,2,1,1,1.5,2.0,1.0,2.0,3.0,"[""Biceps Brachii"", ""Brachialis""]","[""Brachioradialis""]","[""Barbell""]",Elbow Flexion,"[""Elbow"", ""Wrist""]","[""Wrist pain"", ""Medial epicondylitis""]",2,2,0.0513,,0,,0,0,0,0.0,Safe
SAFE0000037,U000037,EX0003,Intermediate,Muscle Gain,Mobility and Flexibility,Female,21,155.0,51.4,21.39,Normal,2,Full Body,Commercial Gym,4,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.0938,,0,,0,0,0,0.0,Safe
SAFE0000038,U000038,EX0004,Advanced,Strength,Rehabilitation and Joint Health,Male,28,161.0,57.4,22.14,Normal,6,Body Part Split,Bodyweight Only,2,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000039,U000039,EX0026,Advanced,Mobility and Flexibility,Rehabilitation and Joint Health,Female,21,158.0,53.9,21.59,Normal,4,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.05,,0,,0,0,0,0.0,Safe
SAFE0000040,U000040,EX0080,Intermediate,Rehabilitation and Joint Health,Muscle Gain,Male,22,187.0,76.4,21.85,Normal,4,Chest Back Legs,Limited Gym,5,1,1,Resistance Training,Beginner,Beginner,1,2,1,1.5,1.5,2.0,1.5,2.5,"[""Anterior Deltoid""]","[""Lateral Deltoid"", ""Pectoralis Major (Clavicular Head)""]","[""Dumbbell""]",Vertical Push,"[""Shoulder""]","[""Shoulder impingement""]",1,1,0.0526,,0,,0,0,0,0.0,Safe
SAFE0000041,U000041,EX0004,Advanced,Muscular Endurance,Fat Loss,Other,35,181.0,84.1,25.67,Overweight,2,Body Part Split,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000042,U000042,EX0003,Intermediate,General Fitness,Fat Loss,Male,36,185.0,73.2,21.39,Normal,4,Upper Lower,Commercial Gym,5,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.0244,,0,,0,0,0,0.0,Safe
SAFE0000043,U000043,EX0004,Advanced,Athletic Performance,Strength,Male,26,160.0,61.1,23.87,Normal,3,Body Part Split,Bodyweight Only,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0256,,0,,0,0,0,0.0,Safe
SAFE0000044,U000044,EX0004,Advanced,Muscular Endurance,Fat Loss,Male,34,167.0,70.2,25.17,Overweight,3,Chest Back Legs,Commercial Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0541,,0,,0,0,1,0.25,Monitor
SAFE0000045,U000045,EX0172,Intermediate,Rehabilitation and Joint Health,Mobility and Flexibility,Female,57,159.0,63.2,25.0,Overweight,2,Push Pull Legs,Commercial Gym,4,1,1,Bodyweight,Intermediate,Intermediate,3,1,1,3.5,3.5,3.0,3.0,4.0,"[""Quadriceps"", ""Gluteus Maximus"", ""Adductor Magnus""]","[""Hamstrings""]","[""Bodyweight""]",Squat,"[""Knee"", ""Hip""]","[""Groin strain"", ""Knee meniscus issues""]",2,2,0.0312,,0,,0,0,1,0.55,Review
SAFE0000046,U000046,EX0095,Advanced,Athletic Performance,Strength,Male,57,169.0,62.3,21.81,Normal,4,Push Pull Legs,Commercial Gym,3,0,0,Resistance Training,Intermediate,Intermediate,2,3,1,4.0,4.5,3.5,3.5,5.5,"[""Anterior Deltoid"", ""Triceps Brachii""]","[""Quadriceps"", ""Gluteus Maximus"", ""Lateral Deltoid""]","[""Barbell""]",Vertical Push,"[""Shoulder"", ""Knee"", ""Lower Back""]","[""Shoulder impingement"", ""Lumbar spine instability""]",3,2,0.0,,0,,0,0,0,0.0,Safe
SAFE0000047,U000047,EX0004,Advanced,Muscle Gain,General Fitness,Prefer not to say,22,176.0,67.1,21.66,Normal,4,Chest Back Legs,Commercial Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000048,U000048,EX0004,Beginner,General Fitness,Muscle Gain,Female,49,172.0,50.6,17.1,Underweight,6,Upper Lower,Home Gym,5,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0278,,0,,0,0,0,0.0,Safe
SAFE0000049,U000049,EX0004,Advanced,General Fitness,Mobility and Flexibility,Prefer not to say,32,155.0,46.5,19.35,Normal,5,Chest Back Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0488,,0,,0,0,0,0.0,Safe
SAFE0000050,U000050,EX0009,Advanced,Muscle Gain,Strength,Male,19,182.0,86.9,26.23,Overweight,2,Chest Back Legs,Commercial Gym,3,0,0,Resistance Training,Beginner,Beginner,2,3,1,1.0,1.0,1.0,1.0,3.5,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Middle Trapezius"", ""Posterior Deltoid"", ""Biceps Brachii""]","[""Row Machine""]",Horizontal Pull,"[""Shoulder"", ""Elbow""]","[""Acute shoulder pain"", ""Pain during pulling""]",2,2,0.0,,0,,0,0,0,0.0,Safe
SAFE0000051,U000051,EX0004,Intermediate,Fat Loss,Strength,Male,30,179.0,69.8,21.78,Normal,5,Chest Back Legs,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0541,,0,,0,0,0,0.0,Safe
SAFE0000052,U000052,EX0004,Advanced,Fat Loss,Muscle Gain,Female,55,161.0,71.6,27.62,Overweight,6,Body Part Split,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0571,,0,,0,0,0,0.0,Safe
SAFE0000053,U000053,EX0004,Intermediate,Muscle Gain,Fat Loss,Male,54,160.0,74.9,29.26,Overweight,5,Chest Back Legs,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0,,0,,0,0,0,0.0,Safe
SAFE0000054,U000054,EX0004,Advanced,Athletic Performance,General Fitness,Male,29,173.0,64.2,21.45,Normal,3,Push Pull Legs,Bodyweight Only,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.0263,,0,,0,0,0,0.0,Safe
