sample_id,user_id,plan_id,exercise_id,training_level,primary_goal,secondary_goal,gender,age,height_cm,weight_kg,bmi,bmi_category,training_days_per_week,preferred_split,gym_access_level,available_equipment_count,injury_count,limitation_count,exercise_category,exercise_difficulty,minimum_training_level,primary_muscle_count,secondary_muscle_count,equipment_count,technical_complexity_score,fatigue_score,mobility_requirement,balance_requirement,estimated_MET,primary_muscles,secondary_muscles,equipment,movement_pattern,joint_stress_areas,contraindications,joint_stress_count,contraindication_count,completion_rate,set_completion_rate,skipped_rate,partial_rate,average_rpe,average_fatigue,pain_rate,trend,safety_status,risk_score,risk_flag_count,contraindication_match_count,pain_match_count,sentiment_positive_count,sentiment_neutral_count,sentiment_negative_count,too_easy_count,too_hard_count,liked_exercise_count,disliked_exercise_count,pain_related_exercise_count,recommended_action,days_per_week
REC0000012,U000012,PLAN000012,EX0067,Intermediate,Fat Loss,General Fitness,Male,28,162.0,86.1,32.81,Obese,3,Push Pull Legs,Limited Gym,3,1,1,Resistance Training,Beginner,Beginner,1,1,1,1.5,2.5,1.0,2.0,3.0,"[""Upper Trapezius""]","[""Levator Scapulae""]","[""Barbell""]",Scapular Elevation,"[""Neck"", ""Lower Back""]","[""Cervical spine pain""]",2,1,0.8158,0.9375,0.0,0.0,7.02,2.5,0.0263,,Safe,0.0,0,0,0,28,3,4,0,0,1,1,0,Keep,3
REC0000015,U000015,PLAN000015,EX0026,Intermediate,Fat Loss,General Fitness,Other,34,179.0,87.6,27.34,Overweight,6,Chest Back Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.8974,1.0,0.0,0.0,6.89,2.0,0.0,,Safe,0.0,0,0,0,22,2,0,0,0,0,0,0,Keep,6
REC0000018,U000018,PLAN000018,EX0004,Advanced,General Fitness,Mobility and Flexibility,Female,20,166.0,64.8,23.52,Normal,2,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7188,0.9375,0.0,0.0,7.7,4.0,0.0,,Safe,0.0,0,0,0,18,14,2,0,0,1,1,0,Reduce Difficulty,2
REC0000019,U000019,PLAN000019,EX0004,Beginner,Muscle Gain,Mobility and Flexibility,Male,18,188.0,87.1,24.64,Normal,6,Auto,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8947,1.0,0.0,0.0,7.87,3.0,0.0,,Safe,0.0,0,0,0,18,2,0,0,0,0,0,0,Keep,6
REC0000020,U000020,PLAN000020,EX0004,Beginner,Fat Loss,Muscular Endurance,Male,27,167.0,75.9,27.22,Overweight,5,Upper Lower,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7778,0.9444,0.0,0.0,7.02,2.06,0.0556,,Safe,0.0,0,0,0,12,4,2,0,0,0,0,0,Reduce Difficulty,5
REC0000021,U000021,PLAN000021,EX0004,Advanced,Athletic Performance,Mobility and Flexibility,Female,27,177.0,87.1,27.8,Overweight,5,Upper Lower,Commercial Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.878,0.9756,0.0,0.0,6.9,2.1,0.0,,Safe,0.0,0,0,0,22,2,0,0,0,0,0,0,Keep,5
REC0000022,U000022,PLAN000022,EX0004,Advanced,Muscle Gain,Athletic Performance,Female,30,167.0,69.8,25.03,Overweight,6,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7436,0.9359,0.0,0.0,8.31,3.32,0.0256,,Safe,0.0,0,0,0,17,6,0,0,0,0,0,0,Keep,6
REC0000025,U000025,PLAN000025,EX0281,Advanced,Strength,Athletic Performance,Male,23,177.0,78.3,24.99,Normal,2,Push Pull Legs,Limited Gym,3,0,0,Resistance Training,Intermediate,Intermediate,2,1,1,3.0,3.5,2.5,3.0,4.0,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Resistance Band""]",Horizontal Push,"[""Shoulder"", ""Wrist"", ""Elbow""]","[""Shoulder impingement""]",3,1,0.8438,0.9688,0.0,0.0,8.18,3.06,0.0625,,Safe,0.0,0,0,0,15,15,3,0,0,0,1,0,Reduce Difficulty,2
REC0000026,U000026,PLAN000026,EX0004,Advanced,General Fitness,Fat Loss,Male,20,176.0,78.7,25.41,Overweight,5,Chest Back Legs,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7105,0.9101,0.0,0.0,7.7,3.88,0.0,,Safe,0.0,0,0,0,13,5,1,0,0,0,0,0,Keep,5
REC0000027,U000027,PLAN000027,EX0004,Intermediate,Muscle Gain,Rehabilitation and Joint Health,Female,35,152.0,46.0,19.91,Normal,4,Chest Back Legs,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.9167,0.9506,0.0,0.0,7.8,3.0,0.0,,Safe,0.0,0,0,0,17,1,1,0,0,0,0,0,Keep,4
REC0000028,U000028,PLAN000028,EX0160,Beginner,Mobility and Flexibility,Rehabilitation and Joint Health,Prefer not to say,32,159.0,55.5,21.95,Normal,4,Auto,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,1.5,1.5,1.0,3.0,"[""Rectus Abdominis""]","[""Obliques"", ""Hip Flexors""]","[""Mat""]",Trunk Flexion,"[""Lower Back""]","[""Lumbar disc herniation""]",1,1,0.7805,0.9268,0.0,0.0,6.02,2.08,0.0732,,Safe,0.0,0,0,0,18,3,4,0,0,0,0,0,Reduce Difficulty,4
REC0000030,U000030,PLAN000030,EX0227,Beginner,Muscle Gain,General Fitness,Female,35,174.0,66.5,21.96,Normal,2,Auto,Bodyweight Only,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,3.5,1.5,2.5,3.0,6.5,"[""Core"", ""Hip Flexors""]","[""Shoulders (Deltoids)"", ""Triceps Brachii"", ""Quadriceps""]","[""Mat""]",Total Body Integration,"[""Wrist"", ""Shoulder""]","[""Wrist pain""]",2,1,0.7188,0.9076,0.0,0.0,8.34,3.03,0.0312,,Safe,0.0,0,0,0,23,8,3,0,0,1,1,0,Keep,2
REC0000031,U000031,PLAN000031,EX0004,Intermediate,General Fitness,Rehabilitation and Joint Health,Male,18,179.0,60.9,19.01,Normal,3,Chest Back Legs,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7714,0.944,0.0,0.0,7.05,2.18,0.1143,,Safe,0.0,0,0,0,15,3,3,0,0,0,0,0,Reduce Difficulty,3
REC0000032,U000032,PLAN000032,EX0227,Advanced,Fat Loss,Muscle Gain,Male,38,170.0,77.1,26.68,Overweight,3,Upper Lower,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,2,3,1,3.5,1.5,2.5,3.0,6.5,"[""Core"", ""Hip Flexors""]","[""Shoulders (Deltoids)"", ""Triceps Brachii"", ""Quadriceps""]","[""Mat""]",Total Body Integration,"[""Wrist"", ""Shoulder""]","[""Wrist pain""]",2,1,0.7,0.9,0.0,0.0,7.71,4.06,0.05,,Safe,0.0,0,0,0,19,12,3,0,0,1,0,0,Reduce Difficulty,3
REC0000033,U000033,PLAN000033,EX0194,Intermediate,Fat Loss,Muscular Endurance,Female,21,166.0,73.6,26.71,Overweight,3,Upper Lower,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,3,4,1,4.5,3.0,1.0,3.0,8.0,"[""Quadriceps"", ""Pectoralis Major"", ""Gluteus Maximus""]","[""Triceps Brachii"", ""Anterior Deltoid"", ""Hamstrings"", ""Calves""]","[""Bodyweight""]",Total Body Integration,"[""Wrist"", ""Knee"", ""Lower Back""]",[],3,0,0.7632,0.9211,0.0,0.0,7.48,2.54,0.0526,,Monitor,0.25,1,0,0,13,3,4,0,0,0,0,0,Reduce Difficulty,3
REC0000035,U000035,PLAN000035,EX0004,Intermediate,Muscle Gain,Muscular Endurance,Female,21,161.0,66.5,25.65,Overweight,2,Upper Lower,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8125,0.9375,0.0,0.0,8.23,3.5,0.0312,,Safe,0.0,0,0,0,12,4,3,0,0,0,0,0,Reduce Difficulty,2
REC0000038,U000038,PLAN000038,EX0004,Advanced,Strength,Rehabilitation and Joint Health,Male,28,161.0,57.4,22.14,Normal,6,Body Part Split,Bodyweight Only,2,1,1,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8286,0.9826,0.0,0.0,8.2,3.0,0.0,,Safe,0.0,0,0,0,20,7,1,0,0,1,1,0,Keep,6
REC0000039,U000039,PLAN000039,EX0026,Advanced,Mobility and Flexibility,Rehabilitation and Joint Health,Female,21,158.0,53.9,21.59,Normal,4,Chest Back Legs,Limited Gym,4,0,0,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.725,0.9,0.0,0.0,6.72,3.06,0.05,,Safe,0.0,0,0,0,12,5,3,0,0,0,0,0,Reduce Difficulty,4
REC0000040,U000040,PLAN000040,EX0080,Intermediate,Rehabilitation and Joint Health,Muscle Gain,Male,22,187.0,76.4,21.85,Normal,4,Chest Back Legs,Limited Gym,5,1,1,Resistance Training,Beginner,Beginner,1,2,1,1.5,1.5,2.0,1.5,2.5,"[""Anterior Deltoid""]","[""Lateral Deltoid"", ""Pectoralis Major (Clavicular Head)""]","[""Dumbbell""]",Vertical Push,"[""Shoulder""]","[""Shoulder impingement""]",1,1,0.7632,0.9417,0.0,0.0,5.32,1.71,0.0526,,Safe,0.0,0,0,0,12,4,3,0,0,0,0,0,Reduce Difficulty,4
REC0000042,U000042,PLAN000042,EX0003,Intermediate,General Fitness,Fat Loss,Male,36,185.0,73.2,21.39,Normal,4,Upper Lower,Commercial Gym,5,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.7805,0.9512,0.0,0.0,7.01,2.03,0.0244,,Safe,0.0,0,0,0,18,6,2,0,0,0,1,0,Keep,4
REC0000043,U000043,PLAN000043,EX0004,Advanced,Athletic Performance,Strength,Male,26,160.0,61.1,23.87,Normal,3,Body Part Split,Bodyweight Only,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.6923,0.9252,0.0,0.0,7.72,4.03,0.0256,,Safe,0.0,0,0,0,27,7,3,0,0,1,1,0,Reduce Difficulty,3
REC0000044,U000044,PLAN000044,EX0004,Advanced,Muscular Endurance,Fat Loss,Male,34,167.0,70.2,25.17,Overweight,3,Chest Back Legs,Commercial Gym,4,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7568,0.9059,0.0,0.0,7.15,2.15,0.0541,,Monitor,0.25,1,0,0,14,4,4,0,0,0,0,0,Reduce Difficulty,3
REC0000046,U000046,PLAN000046,EX0095,Advanced,Athletic Performance,Strength,Male,57,169.0,62.3,21.81,Normal,4,Push Pull Legs,Commercial Gym,3,0,0,Resistance Training,Intermediate,Intermediate,2,3,1,4.0,4.5,3.5,3.5,5.5,"[""Anterior Deltoid"", ""Triceps Brachii""]","[""Quadriceps"", ""Gluteus Maximus"", ""Lateral Deltoid""]","[""Barbell""]",Vertical Push,"[""Shoulder"", ""Knee"", ""Lower Back""]","[""Shoulder impingement"", ""Lumbar spine instability""]",3,2,0.875,0.9707,0.0,0.0,6.98,2.0,0.0,,Safe,0.0,0,0,0,27,2,1,0,0,1,0,0,Keep,4
REC0000049,U000049,PLAN000049,EX0004,Advanced,General Fitness,Mobility and Flexibility,Prefer not to say,32,155.0,46.5,19.35,Normal,5,Chest Back Legs,Home Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7805,0.9091,0.0,0.0,7.41,2.53,0.0488,,Safe,0.0,0,0,0,16,5,3,0,0,0,0,0,Reduce Difficulty,5
REC0000051,U000051,PLAN000051,EX0004,Intermediate,Fat Loss,Strength,Male,30,179.0,69.8,21.78,Normal,5,Chest Back Legs,Home Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7568,0.8875,0.0,0.0,7.41,3.18,0.0541,,Safe,0.0,0,0,0,15,5,3,0,0,0,0,0,Reduce Difficulty,5
REC0000054,U000054,PLAN000054,EX0004,Advanced,Athletic Performance,General Fitness,Male,29,173.0,64.2,21.45,Normal,3,Push Pull Legs,Bodyweight Only,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7895,0.9486,0.0,0.0,7.48,2.78,0.0263,,Safe,0.0,0,0,0,20,8,4,0,0,1,1,0,Reduce Difficulty,3
REC0000055,U000055,PLAN000055,EX0037,Intermediate,Rehabilitation and Joint Health,Muscle Gain,Male,20,171.0,79.6,27.22,Overweight,4,Push Pull Legs,Limited Gym,2,1,1,Resistance Training,Beginner,Beginner,2,1,1,1.5,2.0,1.0,1.5,3.0,"[""Brachioradialis"", ""Brachialis""]","[""Biceps Brachii""]","[""Dumbbell""]",Elbow Flexion,"[""Elbow""]","[""Elbow pain""]",1,1,0.7778,0.9444,0.0,0.0,5.14,1.0,0.0,,Safe,0.0,0,0,0,12,5,1,0,0,0,0,0,Keep,4
REC0000056,U000056,PLAN000056,EX0037,Advanced,Mobility and Flexibility,Muscular Endurance,Female,38,185.0,113.5,33.16,Obese,5,Full Body,Commercial Gym,2,0,0,Resistance Training,Beginner,Beginner,2,1,1,1.5,2.0,1.0,1.5,3.0,"[""Brachioradialis"", ""Brachialis""]","[""Biceps Brachii""]","[""Dumbbell""]",Elbow Flexion,"[""Elbow""]","[""Elbow pain""]",1,1,0.7805,0.9498,0.0,0.0,6.13,2.08,0.0732,,Safe,0.0,0,0,0,19,4,2,0,0,0,0,0,Reduce Difficulty,5
REC0000057,U000057,PLAN000057,EX0059,Beginner,Mobility and Flexibility,Rehabilitation and Joint Health,Female,32,173.0,85.6,28.6,Overweight,2,Push Pull Legs,Limited Gym,2,0,0,Resistance Training,Beginner,Beginner,1,1,1,1.0,2.0,1.0,2.0,3.0,"[""Upper Trapezius""]","[""Levator Scapulae""]","[""Dumbbell""]",Scapular Elevation,"[""Neck"", ""Shoulder""]","[""Cervical spine issues"", ""Neck spasms""]",2,2,0.875,0.9688,0.0,0.0,6.09,2.06,0.0625,,Safe,0.0,0,0,0,14,3,2,0,0,0,0,0,Reduce Difficulty,2
REC0000059,U000059,PLAN000059,EX0026,Intermediate,Mobility and Flexibility,Athletic Performance,Male,29,171.0,65.8,22.5,Normal,5,Body Part Split,Bodyweight Only,2,1,1,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.8857,0.9714,0.0,0.0,5.87,1.85,0.0,,Safe,0.0,0,0,0,21,1,0,0,0,0,0,0,Keep,5
REC0000060,U000060,PLAN000060,EX0004,Advanced,Athletic Performance,Fat Loss,Male,28,164.0,70.7,26.29,Overweight,3,Body Part Split,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.7,0.925,0.0,0.0,7.39,3.24,0.05,,Safe,0.0,0,0,0,8,4,2,0,0,0,0,0,Reduce Difficulty,3
REC0000061,U000061,PLAN000061,EX0242,Intermediate,Strength,Rehabilitation and Joint Health,Female,21,162.0,70.9,27.02,Overweight,6,Full Body,Home Gym,2,0,0,Resistance Training,Intermediate,Intermediate,2,1,1,2.0,3.5,2.0,1.5,3.0,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Dumbbell""]",Horizontal Push,"[""Wrist"", ""Elbow""]","[""Wrist pain""]",2,1,0.7895,0.9447,0.0,0.0,8.01,3.06,0.0526,,Safe,0.0,0,0,0,2,2,0,0,0,0,0,0,Reduce Difficulty,6
REC0000062,U000062,PLAN000062,EX0026,Beginner,Rehabilitation and Joint Health,Fat Loss,Male,24,185.0,95.7,27.96,Overweight,3,Auto,Limited Gym,2,1,1,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.8333,0.9722,0.0,0.0,5.06,1.0,0.0,,Safe,0.0,0,0,0,3,18,0,0,0,0,0,0,Keep,3
REC0000063,U000063,PLAN000063,EX0281,Advanced,Athletic Performance,Mobility and Flexibility,Male,21,173.0,81.7,27.3,Overweight,4,Full Body,Home Gym,2,0,0,Resistance Training,Intermediate,Intermediate,2,1,1,3.0,3.5,2.5,3.0,4.0,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Resistance Band""]",Horizontal Push,"[""Shoulder"", ""Wrist"", ""Elbow""]","[""Shoulder impingement""]",3,1,0.8537,0.9756,0.0,0.0,6.92,2.08,0.0732,,Safe,0.0,0,0,0,3,0,0,0,0,0,0,0,Reduce Difficulty,4
