feedback_id,user_id,plan_id,history_session_id,history_item_id,plan_item_id,exercise_id,feedback_scope,feedback_type,rating,sentiment,difficulty_feedback,enjoyment_rating,fatigue_feedback,pain_feedback,pain_areas,duration_feedback,exercise_preference,progression_preference,requested_action,feedback_text,feedback_reason_tags,source_context,feedback_status,record_source,is_synthetic,created_at,updated_at
FB00000011,U000476,PLAN000976,WHS00017934,WHI000078548,WPI00017174,EX0009,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Pain,"[""Back""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Tôi cảm thấy pain ở Back khi tập Machine Row, nên muốn review safety trước buổi sau. Mức đánh giá 2/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-04-02T18:00:00,2026-08-12T08:36:22
FB00000012,U000475,PLAN000975,WHS00017914,WHI000078451,WPI00017159,EX0004,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Push-Up tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 1/5, ở phần cuối buổi.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-06-03T18:00:00,2026-08-12T08:36:22
FB00000013,U000473,PLAN000973,WHS00017892,WHI000078375,WPI00017124,EX0004,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Push-Up tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-10T18:00:00,2026-08-12T08:36:22
FB00000014,U000473,PLAN000973,WHS00017871,WHI000078269,WPI00017120,EX0270,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Banded Good Morning tạo cảm giác không thật ổn ở Knee, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, ở phần cuối buổi.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-05-12T18:00:00,2026-08-12T08:36:22
FB00000015,U000472,PLAN000972,WHS00017855,WHI000078190,WPI00017104,EX0196,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Back""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Machine Assisted Pull-Up tạo cảm giác không thật ổn ở Back, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 1/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-09T18:00:00,2026-08-12T08:36:22
FB00000016,U000471,PLAN000971,WHS00017843,WHI000078109,WPI00017067,EX0168,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện V-Up, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, sau khi hoàn thành phần chính.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-01-23T18:00:00,2026-08-12T08:36:22
FB00000017,U000470,PLAN000970,WHS00017825,WHI000077979,WPI00017061,EX0176,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Knee khi tập Side Plank, nên muốn replace exercise trước buổi sau. Mức đánh giá 1/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-24T18:00:00,2026-08-12T08:36:22
FB00000018,U000468,PLAN000968,WHS00017794,WHI000077804,WPI00017022,EX0059,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Dumbbell Shrug tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, ở phần cuối buổi.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-01-28T18:00:00,2026-08-12T08:36:22
FB00000019,U000467,PLAN000967,WHS00017773,WHI000077656,WPI00016994,EX0280,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Knee khi tập Single-Leg Glute Bridge, nên muốn replace exercise trước buổi sau. Mức đánh giá 1/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-04-01T18:00:00,2026-08-12T08:36:22
FB00000020,U000463,PLAN000963,WHS00017705,WHI000077347,WPI00016936,EX0004,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Push-Up tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, trong buổi tập này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-04-16T18:00:00,2026-08-12T08:36:22
FB00000021,U000462,PLAN000962,WHS00017686,WHI000077306,WPI00016914,EX0184,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Back""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Single-Arm Smith Machine Row, vùng Back hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-01-18T18:00:00,2026-08-12T08:36:22
FB00000022,U000461,PLAN000961,WHS00017666,WHI000077182,WPI00016891,EX0218,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Front Plank with Reach tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 1/5, ở phần cuối buổi.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-21T18:00:00,2026-08-12T08:36:22
FB00000023,U000461,PLAN000961,WHS00017661,WHI000077146,WPI00016892,EX0134,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Hollow Body Hold, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-26T18:00:00,2026-08-12T08:36:22
FB00000024,U000460,PLAN000960,WHS00017645,WHI000077036,WPI00016857,EX0274,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Pain,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Tôi cảm thấy pain ở Joint discomfort khi tập Side-Lying Inner Thigh Raise, nên muốn review safety trước buổi sau. Mức đánh giá 1/5, ở lần ghi nhận gần đây.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-05-23T18:00:00,2026-08-12T08:36:22
FB00000025,U000459,PLAN000959,WHS00017627,WHI000076916,WPI00016806,EX0137,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Machine Bicep Curl, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-22T18:00:00,2026-08-12T08:36:22
FB00000026,U000456,PLAN000956,WHS00017560,WHI000076615,WPI00016754,EX0070,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Knee khi tập Smith Machine Squat, nên muốn replace exercise trước buổi sau. Mức đánh giá 1/5, ở lần ghi nhận gần đây.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-02-16T18:00:00,2026-08-12T08:36:22
FB00000027,U000455,PLAN000955,WHS00017541,WHI000076505,WPI00016730,EX0227,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Joint discomfort khi tập Mountain Climbers, nên muốn replace exercise trước buổi sau. Mức đánh giá 1/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-04-18T18:00:00,2026-08-12T08:36:22
FB00000028,U000451,PLAN000951,WHS00017472,WHI000076081,WPI00016642,EX0011,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Back""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Pull-Up, vùng Back hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 2/5, sau khi hoàn thành phần chính.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-06-24T18:00:00,2026-08-12T08:36:22
FB00000029,U000450,PLAN000950,WHS00017455,WHI000076001,WPI00016639,EX0136,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Knee khi tập Skater Squat, nên muốn replace exercise trước buổi sau. Mức đánh giá 2/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-02-03T18:00:00,2026-08-12T08:36:22
FB00000030,U000444,PLAN000944,WHS00017354,WHI000075686,WPI00016576,EX0194,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Knee khi tập Burpee, nên muốn replace exercise trước buổi sau. Mức đánh giá 2/5, sau vài set đầu.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-15T18:00:00,2026-08-12T08:36:22
FB00000031,U000444,PLAN000944,WHS00017349,WHI000075676,WPI00016574,EX0195,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Battle Ropes, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-01-22T18:00:00,2026-08-12T08:36:22
FB00000032,U000443,PLAN000943,WHS00017342,WHI000075659,WPI00016561,EX0263,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Joint discomfort khi tập Hindu Push-Up, nên muốn replace exercise trước buổi sau. Mức đánh giá 2/5, ở lần ghi nhận gần đây.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-01-29T18:00:00,2026-08-12T08:36:22
FB00000033,U000442,PLAN000942,WHS00017324,WHI000075543,WPI00016524,EX0004,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Push-Up, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 2/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-30T18:00:00,2026-08-12T08:36:22
FB00000034,U000439,PLAN000939,WHS00017268,WHI000075326,WPI00016450,EX0125,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Back""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Machine Lateral Raise, vùng Back hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, sau khi hoàn thành phần chính.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-05-02T18:00:00,2026-08-12T08:36:22
FB00000035,U000436,PLAN000936,WHS00017197,WHI000074989,WPI00016395,EX0004,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Push-Up tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 1/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-10T18:00:00,2026-08-12T08:36:22
FB00000036,U000435,PLAN000935,WHS00017179,WHI000074884,WPI00016391,EX0004,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Joint discomfort khi tập Push-Up, nên muốn replace exercise trước buổi sau. Mức đánh giá 1/5, ở lần ghi nhận gần đây.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-02-20T18:00:00,2026-08-12T08:36:22
FB00000037,U000433,PLAN000933,WHS00017140,WHI000074712,WPI00016327,EX0267,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Pain,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Tôi cảm thấy pain ở Joint discomfort khi tập Decline EZ-Bar Skull Crusher, nên muốn review safety trước buổi sau. Mức đánh giá 1/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-06-02T18:00:00,2026-08-12T08:36:22
FB00000038,U000431,PLAN000931,WHS00017102,WHI000074604,WPI00016291,EX0277,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Crab Walk, vùng Knee hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, sau khi hoàn thành phần chính.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-16T18:00:00,2026-08-12T08:36:22
FB00000039,U000430,PLAN000930,WHS00017086,WHI000074588,WPI00016286,EX0194,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Knee khi tập Burpee, nên muốn replace exercise trước buổi sau. Mức đánh giá 2/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-03T18:00:00,2026-08-12T08:36:22
FB00000040,U000428,PLAN000928,WHS00017056,WHI000074546,WPI00016278,EX0263,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Hindu Push-Up tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, trong buổi tập này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-18T18:00:00,2026-08-12T08:36:22
FB00000041,U000428,PLAN000928,WHS00017051,WHI000074530,WPI00016277,EX0224,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Pain,"[""Back""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Khi thực hiện Pike Push-Up, vùng Back hơi khó chịu; nên ưu tiên phương án Review Safety. Mức đánh giá 1/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-23T18:00:00,2026-08-12T08:36:22
FB00000042,U000427,PLAN000927,WHS00017037,WHI000074475,WPI00016255,EX0004,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Push-Up tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 1/5, ở phần cuối buổi.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-05-18T18:00:00,2026-08-12T08:36:22
FB00000043,U000420,PLAN000920,WHS00016909,WHI000073901,WPI00016089,EX0227,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Mountain Climbers tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-06-20T18:00:00,2026-08-12T08:36:22
FB00000044,U000419,PLAN000919,WHS00016872,WHI000073718,WPI00016074,EX0003,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Pain,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Khi thực hiện Machine Chest Press, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Review Safety. Mức đánh giá 2/5, sau khi hoàn thành phần chính.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-05-02T18:00:00,2026-08-12T08:36:22
FB00000045,U000418,PLAN000918,WHS00016851,WHI000073651,WPI00016064,EX0067,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Barbell Shrug, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 2/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-04T18:00:00,2026-08-12T08:36:22
FB00000046,U000416,PLAN000916,WHS00016824,WHI000073524,WPI00016041,EX0277,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Crab Walk, vùng Knee hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, sau khi hoàn thành phần chính.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-16T18:00:00,2026-08-12T08:36:22
FB00000047,U000415,PLAN000915,WHS00016807,WHI000073447,WPI00016027,EX0079,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Joint discomfort khi tập Donkey Calf Raise, nên muốn replace exercise trước buổi sau. Mức đánh giá 1/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-05-14T18:00:00,2026-08-12T08:36:22
