exercise_id,exercise_name,aliases,category,body_region,mechanics_type,movement_pattern,force_type,kinetic_chain,laterality,equipment,load_position,primary_muscles,secondary_muscles,stabilizer_muscles,movement_planes,joint_actions,range_of_motion_type,resistance_profile,muscle_length_bias,axial_loading,minimum_training_level,technical_complexity_score,coordination_requirement,stability_requirement,mobility_requirement,balance_requirement,systemic_fatigue_score,local_fatigue_score,recommended_goals,relative_injury_risk,joint_stress_areas,contraindications,exercise_setup,execution_steps,common_mistakes,cues,breathing_pattern,progressions,regressions,alternatives,met_value,source_ids,record_status,last_reviewed_date
EX0090,Landmine Press,"[""Standing Landmine Press"", ""Angled Overhead Press""]",Resistance Training,Upper Body,Compound,Vertical Push,Push,Open Chain,Unilateral,"[""Barbell"", ""Landmine""]",Anterior,"[""Anterior Deltoid"", ""Pectoralis Major (Clavicular Head)""]","[""Triceps Brachii"", ""Lateral Deltoid""]","[""Core"", ""Gluteus Maximus""]","[""Sagittal""]","[""Shoulder Flexion"", ""Elbow Extension""]",Full,Ascending,Mid-Range,Moderate,Intermediate,2.5,3,3,2.5,2.5,3,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Lower Back""]","[""Severe shoulder impingement""]",Stand with a staggered stance holding the end of a landmine barbell at shoulder height with one hand.,"[""Brace your core and press the barbell up and forward until your arm is fully extended."", ""Pause briefly at the top."", ""Lower the barbell under control back to your shoulder.""]","[""Leaning back excessively to press"", ""Using leg drive (turning it into a push press)"", ""Letting the elbow flare out too much""]","[""Press up and forward"", ""Keep the core tight"", ""Follow the path of the bar""]","Exhale while pressing, inhale while lowering.","[""Half-Kneeling Landmine Press"", ""Heavy Landmine Press""]","[""Lighter Load"", ""Seated Dumbbell Press""]","[""Overhead Press"", ""Incline Dumbbell Press""]",3.5,"[""SRC_ACSM_2026_RT""]",Reviewed,2026-07-24
EX0091,Sumo Deadlift,"[""Barbell Sumo Deadlift""]",Resistance Training,Lower Body,Compound,Hinge,Pull,Closed Chain,Bilateral,"[""Barbell"", ""Weight Plates""]",Anterior,"[""Gluteus Maximus"", ""Quadriceps""]","[""Hamstrings"", ""Adductor Magnus"", ""Erector Spinae""]","[""Core"", ""Latissimus Dorsi"", ""Trapezius""]","[""Sagittal"", ""Frontal""]","[""Hip Extension"", ""Knee Extension""]",Full,Ascending,Lengthened,High,Intermediate,4.5,4,4,4.5,3.5,5,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Lower Back"", ""Hip""]","[""Hip impingement"", ""Lumbar disc issues""]",Take a very wide stance with your toes pointed outward. Grip the bar inside your knees.,"[""Drop your hips, lift your chest, and pull the slack out of the bar."", ""Drive through the floor with your legs, keeping your torso as upright as possible."", ""Lock out your hips and knees simultaneously at the top.""]","[""Hips shooting up first"", ""Rounding the lower back"", ""Letting the knees cave inward""]","[""Spread the floor with your feet"", ""Chest up, hips down"", ""Leg press the floor""]","Inhale and brace hard before the pull, exhale at lockout.","[""Deficit Sumo Deadlift"", ""Paused Sumo Deadlift""]","[""Kettlebell Sumo Deadlift"", ""Trap Bar Deadlift""]","[""Conventional Deadlift"", ""Trap Bar Deadlift""]",6,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
EX0092,Trap Bar Deadlift,"[""Hex Bar Deadlift""]",Resistance Training,Lower Body,Compound,Squat,Push,Closed Chain,Bilateral,"[""Trap Bar"", ""Weight Plates""]",Lateral,"[""Quadriceps"", ""Gluteus Maximus""]","[""Hamstrings"", ""Erector Spinae""]","[""Core"", ""Trapezius"", ""Forearms""]","[""Sagittal""]","[""Hip Extension"", ""Knee Extension""]",Full,Ascending,Mid-Range,Moderate,Beginner,3,2.5,3,3,2.5,4.5,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Lower Back"", ""Knee""]","[""Acute low back pain""]",Step inside the trap bar. Hinge at the hips and bend your knees to grip the handles securely.,"[""Lower your hips and lift your chest."", ""Drive through your feet to stand up straight, extending hips and knees."", ""Return the weight to the floor under control.""]","[""Turning it into a stiff-legged deadlift"", ""Rounding the upper back"", ""Shrugging at the top""]","[""Stand tall"", ""Push the floor away"", ""Keep arms straight""]","Inhale and brace before lifting, exhale at the top.","[""Low Handle Trap Bar Deadlift"", ""Deficit Trap Bar Deadlift""]","[""High Handle Trap Bar Deadlift (Lighter)""]","[""Conventional Deadlift"", ""Dumbbell Squat""]",6,"[""SRC_ACSM_2026_RT""]",Reviewed,2026-07-24
EX0093,Goblet Squat,"[""Dumbbell Goblet Squat"", ""Kettlebell Goblet Squat""]",Resistance Training,Lower Body,Compound,Squat,Push,Closed Chain,Bilateral,"[""Dumbbell"", ""Kettlebell""]",Anterior,"[""Quadriceps"", ""Gluteus Maximus""]","[""Hamstrings""]","[""Core"", ""Erector Spinae"", ""Biceps Brachii""]","[""Sagittal""]","[""Hip Extension"", ""Knee Extension""]",Full,Ascending,Lengthened,Low,Beginner,2,2,2.5,3.5,2,3.5,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Knee"", ""Lower Back""]","[""Patellofemoral pain""]",Hold a dumbbell or kettlebell vertically against your chest with both hands. Stand with feet slightly wider than shoulder-width.,"[""Keeping your chest up and core braced, sit your hips back and down."", ""Squat until your elbows touch the inside of your knees."", ""Drive through your entire foot to stand back up.""]","[""Letting the weight pull you forward"", ""Heels lifting off the ground"", ""Knees caving in""]","[""Pry knees apart with elbows"", ""Keep the weight glued to your chest"", ""Chest up""]","Inhale while descending, exhale while standing up.","[""Heels-Elevated Goblet Squat"", ""Barbell Front Squat""]","[""Bodyweight Squat"", ""Box Squat""]","[""Front Squat"", ""Leg Press""]",4.5,"[""SRC_ACSM_2026_RT""]",Reviewed,2026-07-24
EX0094,Box Squat,"[""Barbell Box Squat""]",Resistance Training,Lower Body,Compound,Squat,Push,Closed Chain,Bilateral,"[""Barbell"", ""Plyo Box"", ""Squat Rack""]",Posterior,"[""Gluteus Maximus"", ""Hamstrings""]","[""Quadriceps""]","[""Core"", ""Erector Spinae""]","[""Sagittal""]","[""Hip Extension"", ""Knee Extension""]",Partial,Ascending,Mid-Range,High,Intermediate,3.5,3,3.5,2.5,3,4,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Lower Back"", ""Spine""]","[""Spinal compression issues""]",Set a box behind you to your desired squat depth. Unrack the barbell on your upper back and take a slightly wider stance.,"[""Push your hips far back and sit back onto the box completely, pausing for a split second."", ""Do not rock backward; maintain core tension."", ""Explosively drive through the floor to stand back up.""]","[""Plop dropping onto the box"", ""Rocking back to generate momentum"", ""Losing core tension on the box""]","[""Sit back, not down"", ""Stay tight on the box"", ""Explode up""]","Inhale and brace before descending, exhale upon exploding up.","[""Lower Box Squat"", ""Accommodating Resistance Box Squat (Bands/Chains)""]","[""Higher Box Squat"", ""Bodyweight Box Squat""]","[""Barbell Back Squat"", ""Pin Squat""]",5,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
EX0095,Push Press,"[""Barbell Push Press""]",Resistance Training,Total Body,Compound,Vertical Push,Push,Closed Chain,Bilateral,"[""Barbell""]",Anterior,"[""Anterior Deltoid"", ""Triceps Brachii""]","[""Quadriceps"", ""Gluteus Maximus"", ""Lateral Deltoid""]","[""Core"", ""Erector Spinae""]","[""Sagittal""]","[""Shoulder Flexion"", ""Elbow Extension"", ""Knee Extension"", ""Hip Extension""]",Full,Ascending,Mid-Range,High,Intermediate,4,4.5,4,3.5,3.5,4.5,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Shoulder"", ""Knee"", ""Lower Back""]","[""Shoulder impingement"", ""Lumbar spine instability""]","Hold the barbell in a front rack position, resting on your shoulders. Feet shoulder-width apart.","[""Perform a shallow dip by bending your knees slightly while keeping your torso perfectly upright."", ""Explosively drive your legs to launch the bar upward."", ""Finish pressing the bar overhead with your arms until elbows lock out.""]","[""Dipping too low (turning it into a squat)"", ""Leaning forward during the dip"", ""Pressing early before the leg drive is finished""]","[""Dip and drive"", ""Chest vertical"", ""Head through the window at the top""]","Inhale and brace before the dip, exhale at lockout.","[""Push Jerk"", ""Split Jerk""]","[""Strict Overhead Press"", ""Dumbbell Push Press""]","[""Overhead Press"", ""Thruster""]",5.5,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
EX0096,Floor Press,"[""Barbell Floor Press""]",Resistance Training,Upper Body,Compound,Horizontal Push,Push,Open Chain,Bilateral,"[""Barbell"", ""Power Rack""]",Anterior,"[""Triceps Brachii"", ""Pectoralis Major""]","[""Anterior Deltoid""]","[""Core""]","[""Transverse"", ""Sagittal""]","[""Elbow Extension"", ""Shoulder Horizontal Adduction""]",Partial,Ascending,Shortened,Low,Intermediate,2.5,2.5,2,1,1,3.5,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Wrist"", ""Elbow""]","[""Severe wrist pain""]",Lie on your back on the floor inside a power rack with your knees bent. Unrack the barbell like a bench press.,"[""Lower the barbell slowly until your triceps (back of the upper arms) rest completely on the floor."", ""Pause for a second, letting the floor absorb the momentum."", ""Press the bar explosively back to lockout.""]","[""Bouncing the elbows off the floor"", ""Lifting the hips to cheat the weight up"", ""Flaring elbows at 90 degrees""]","[""Soft touch on the floor"", ""Pause and explode"", ""Tuck the elbows slightly""]","Inhale while lowering, exhale while pressing.","[""Dumbbell Floor Press"", ""Close-Grip Floor Press""]","[""Lighter Barbell Floor Press""]","[""Close-Grip Bench Press"", ""Board Press""]",3.5,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
EX0097,Spoto Press,"[""Invisible Board Press"", ""Hover Press""]",Resistance Training,Upper Body,Compound,Horizontal Push,Push,Open Chain,Bilateral,"[""Barbell"", ""Flat Bench""]",Anterior,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Core"", ""Latissimus Dorsi"", ""Rotator Cuff""]","[""Transverse"", ""Sagittal""]","[""Shoulder Horizontal Adduction"", ""Elbow Extension""]",Partial,Ascending,Mid-Range,Low,Advanced,4,4,4,2.5,3,4,4.5,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Shoulder"", ""Wrist""]","[""Shoulder instability""]",Set up exactly like a standard barbell bench press. Unrack the weight.,"[""Lower the bar under extreme control until it is about 1-2 inches hovering above your chest."", ""Pause motionless in the air for 1-2 seconds, maintaining maximum tension in the chest and lats."", ""Explode back to the top.""]","[""Touching the chest"", ""Losing tension during the pause"", ""Sinking the bar during the pause""]","[""Stay tight in the hole"", ""Hover and hold"", ""Explode from the bottom""]","Inhale and brace while lowering, hold breath during pause, exhale while pressing.","[""Longer Pause Spoto Press"", ""Heavier Load""]","[""Standard Bench Press"", ""Board Press""]","[""Paused Bench Press"", ""Board Press""]",4,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
EX0098,Chest-Supported T-Bar Row,"[""Machine T-Bar Row""]",Resistance Training,Upper Body,Compound,Horizontal Pull,Pull,Open Chain,Bilateral,"[""Chest-Supported Row Machine""]",Anterior,"[""Latissimus Dorsi"", ""Rhomboids"", ""Middle Trapezius""]","[""Posterior Deltoid"", ""Biceps Brachii"", ""Brachialis""]","[""None""]","[""Sagittal"", ""Transverse""]","[""Shoulder Extension"", ""Elbow Flexion"", ""Scapular Retraction""]",Full,Machine Dependent,Shortened,Low,Beginner,1.5,1,1,1.5,1,2.5,4.5,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Elbow""]","[""Sternum pain""]",Lie face down on the machine's chest pad. Plant your feet firmly on the footplates and grab the handles.,"[""Pull the handles upward by driving your elbows back and squeezing your shoulder blades together."", ""Pause at the top of the movement."", ""Lower the weight slowly until your arms are fully extended and shoulder blades stretched.""]","[""Lifting the chest off the pad to cheat"", ""Pulling with the biceps instead of the back"", ""Shortening the range of motion""]","[""Keep chest glued to the pad"", ""Drive elbows to the ceiling"", ""Stretch at the bottom""]","Exhale while rowing, inhale while lowering.","[""Single-Arm Supported Row"", ""Pause Reps""]","[""Lighter Load""]","[""Chest-Supported Dumbbell Row"", ""Seated Cable Row""]",3.5,"[""SRC_ACSM_2026_RT""]",Reviewed,2026-07-24
EX0099,Renegade Row,"[""Plank Row""]",Resistance Training,Total Body,Compound,Horizontal Pull,Pull,Closed Chain,Alternating,"[""Dumbbell""]",Anterior,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Core"", ""Biceps Brachii"", ""Posterior Deltoid"", ""Pectoralis Major""]","[""Transverse Abdominis"", ""Obliques"", ""Quadriceps""]","[""Transverse"", ""Sagittal""]","[""Shoulder Extension"", ""Elbow Flexion"", ""Isometric Core Anti-Rotation""]",Partial,Constant,Shortened,Moderate,Advanced,4.5,4.5,5,2.5,5,4.5,4.5,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Wrist"", ""Shoulder"", ""Lower Back""]","[""Wrist pain"", ""Shoulder instability"", ""Acute low back pain""]",Get into a high plank position holding a dumbbell in each hand directly under your shoulders. Spread your feet wide for balance.,"[""Brace your core to prevent your hips from twisting."", ""Row one dumbbell up to your ribcage while balancing on the other arm and your feet."", ""Lower the dumbbell under control, and repeat on the other side.""]","[""Twisting the hips/torso to lift the weight"", ""Dropping the hips"", ""Rushing the movement""]","[""Lock the hips"", ""Push the floor away with the non-working arm"", ""Row to the hip""]","Exhale while rowing, inhale while returning.","[""Heavier Load"", ""Feet closer together for more core instability""]","[""Kneeling Renegade Row"", ""Plank Shoulder Taps""]","[""Single-Arm Cable Row"", ""Dumbbell Row""]",5,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
EX0100,Zottman Curl,"[""Alternating Grip Curl""]",Resistance Training,Upper Body,Isolation,Elbow Flexion,Pull,Open Chain,Bilateral,"[""Dumbbell""]",Lateral,"[""Biceps Brachii"", ""Brachialis"", ""Brachioradialis""]","[""Forearm Extensors""]","[""Core"", ""Anterior Deltoid""]","[""Sagittal""]","[""Elbow Flexion"", ""Forearm Supination"", ""Forearm Pronation""]",Full,Ascending,Mid-Range,Low,Intermediate,3,3.5,2,1.5,2,2,4.5,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Elbow"", ""Wrist""]","[""Wrist tendonitis"", ""Tennis/Golfer elbow""]",Stand holding a pair of dumbbells by your sides.,"[""Curl the dumbbells up using a supinated (underhand) grip."", ""At the top of the curl, rotate your hands so your palms face downward (pronated grip)."", ""Lower the dumbbells under control using this overhand grip. Rotate back to underhand at the bottom.""]","[""Using momentum"", ""Rushing the rotation at the top"", ""Dropping the eccentric too fast""]","[""Curl underhand, lower overhand"", ""Squeeze at the top"", ""Control the negative for forearm growth""]","Exhale while curling up, inhale while lowering.","[""Heavy Zottman Curl"", ""Pause Zottman Curl""]","[""Standard Dumbbell Curl"", ""Reverse Curl""]","[""Reverse Barbell Curl"", ""Hammer Curl""]",3,"[""SRC_ACSM_2026_RT""]",Reviewed,2026-07-24
EX0101,Spider Curl,"[""Prone Incline Curl""]",Resistance Training,Upper Body,Isolation,Elbow Flexion,Pull,Open Chain,Bilateral,"[""Dumbbell"", ""Incline Bench"", ""EZ-Bar""]",Anterior,"[""Biceps Brachii (Short Head)""]","[""Brachialis""]","[""None""]","[""Sagittal""]","[""Elbow Flexion""]",Full,Descending,Shortened,Low,Intermediate,2,2,1,1.5,1,1.5,4.5,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Elbow""]","[""Biceps tendonitis""]","Lie face down on a 45-degree incline bench with your arms hanging straight down, holding dumbbells or an EZ-bar.","[""Keeping your upper arms perfectly vertical and stationary, curl the weight up as high as possible."", ""Squeeze the biceps at peak contraction."", ""Lower the weight slowly to a full dead hang.""]","[""Letting elbows drift backward as you lift"", ""Using momentum by lifting the chest off the bench"", ""Not fully extending at the bottom""]","[""Keep elbows pointed straight down"", ""Squeeze the peak"", ""Dead hang at the bottom""]","Exhale while curling, inhale while lowering.","[""Pause Spider Curl""]","[""Seated Concentration Curl""]","[""Preacher Curl"", ""Concentration Curl""]",2.5,"[""SRC_ACSM_2026_RT""]",Reviewed,2026-07-24
EX0102,Dumbbell Triceps Kickback,"[""Triceps Kickback""]",Resistance Training,Upper Body,Isolation,Elbow Extension,Push,Open Chain,Bilateral,"[""Dumbbell"", ""Bench""]",Anterior,"[""Triceps Brachii""]","[""Anconeus""]","[""Core"", ""Posterior Deltoid""]","[""Sagittal""]","[""Elbow Extension""]",Partial,Ascending,Shortened,Low,Beginner,2,2.5,2.5,2,2,1.5,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Elbow""]","[""Elbow pain""]","Place one hand and knee on a flat bench. With the other hand, hold a light dumbbell and bring your upper arm parallel to the floor.","[""Keep your upper arm pinned to your side."", ""Extend your elbow backward until your arm is completely straight."", ""Squeeze the triceps hard, then slowly lower the dumbbell back to a 90-degree angle.""]","[""Swinging the upper arm"", ""Using momentum"", ""Using too much weight and sacrificing form""]","[""Pin the elbow to the ribs"", ""Kick straight back"", ""Hold the squeeze""]","Exhale while kicking back, inhale while returning.","[""Cable Triceps Kickback"", ""Pause Kickback""]","[""Lighter Load""]","[""Cable Triceps Pushdown"", ""Overhead Triceps Extension""]",2,"[""SRC_ACSM_2026_RT""]",Reviewed,2026-07-24
EX0103,Tate Press,"[""Dumbbell Tate Press""]",Resistance Training,Upper Body,Isolation,Elbow Extension,Push,Open Chain,Bilateral,"[""Dumbbell"", ""Flat Bench""]",Anterior,"[""Triceps Brachii""]","[""Anconeus""]","[""Pectoralis Major"", ""Core""]","[""Transverse""]","[""Elbow Extension""]",Full,Ascending,Lengthened,Low,Intermediate,3,3.5,2.5,3,2,2.5,4.5,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Elbow"", ""Wrist""]","[""Elbow tendinopathy"", ""Wrist impingement""]","Lie flat on a bench holding dumbbells directly above your chest with a pronated grip, dumbbells touching end-to-end.","[""Keeping your elbows flared out and stationary, hinge at the elbows to lower the inner edges of the dumbbells down toward your chest."", ""Stop right before they touch your chest, then use your triceps to press them back to the starting position."", ""Maintain control and proper breathing throughout the entire movement.""]","[""Moving the shoulders instead of isolating the elbows"", ""Letting the dumbbells crash into the chest"", ""Not keeping elbows fully flared""]","[""Elbows out"", ""Hinge at the elbows"", ""Squeeze the triceps at the top""]","Inhale while lowering, exhale while pressing.","[""Incline Tate Press"", ""Heavy Tate Press""]","[""Skull Crusher (easier on wrists)""]","[""JM Press"", ""Skull Crusher""]",3,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
EX0104,JM Press,"[""Barbell JM Press""]",Resistance Training,Upper Body,Compound,Elbow Extension,Push,Open Chain,Bilateral,"[""Barbell"", ""Flat Bench""]",Anterior,"[""Triceps Brachii""]","[""Anterior Deltoid"", ""Pectoralis Major""]","[""Core"", ""Latissimus Dorsi""]","[""Sagittal""]","[""Elbow Extension"", ""Shoulder Flexion""]",Partial,Ascending,Mid-Range,Low,Advanced,4.5,4,3.5,3,2.5,3.5,5,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",High,"[""Elbow"", ""Wrist""]","[""Elbow tendinopathy"", ""Wrist pain""]","Lie on a bench with a close grip on the barbell, elbows tucked 45 degrees.","[""Lower the bar toward your upper chest/neck area, allowing your elbows to track forward toward your feet, blending a close-grip bench press with a skull crusher."", ""Once the forearms touch the biceps, press the bar back up in a straight line."", ""Maintain control and proper breathing throughout the entire movement.""]","[""Turning it into a pure skull crusher or pure close grip bench"", ""Failing to let elbows track forward"", ""Going too heavy too soon""]","[""Elbows forward"", ""Roll the weight back up"", ""Keep wrists strong""]","Inhale while lowering, exhale while pressing.","[""Smith Machine JM Press"", ""Heavier Load""]","[""Close-Grip Bench Press"", ""Skull Crusher""]","[""Close-Grip Bench Press"", ""Tate Press""]",4,"[""SRC_NCSA_TECHNIQUE""]",Reviewed,2026-07-24
