plan_id,user_id,username_snapshot,primary_goal_snapshot,secondary_goal_snapshot,training_level_snapshot,plan_name,plan_type,plan_start_date,plan_end_date,duration_weeks,days_per_week,split_type,session_duration_target_min,progression_strategy,weekly_set_target,session_volume_target,deload_strategy,plan_status,generation_source,generator_version,plan_version,exercise_item_count,rationale,safety_notes,created_at,updated_at
PLAN000011,U000011,tram011,Strength,Muscle Gain,Advanced,8-Week Strength - Body Part Split,Personalized,2026-08-10,2026-10-04,8,6,Body Part Split,60,Linear Progression,39,6.5,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000011 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000012,U000012,bao012,Fat Loss,General Fitness,Intermediate,8-Week Fat Loss - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,3,Push Pull Legs,75,Linear Progression,20,6.67,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,10,"Generated from U000012 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
PLAN000013,U000013,han013,Muscular Endurance,Mobility and Flexibility,Advanced,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,6,Upper Lower,90,RPE-Based,54,9,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000013 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000014,U000014,tuan014,Muscular Endurance,Rehabilitation and Joint Health,Advanced,8-Week Muscular Endurance - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,90,Linear Progression,20,6.67,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,10,"Generated from U000014 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000015,U000015,alex015,Fat Loss,General Fitness,Intermediate,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,6,Chest Back Legs,50,Double Progression,34,5.67,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,18,"Generated from U000015 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000016,U000016,khoa016,Muscle Gain,Strength,Beginner,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,5,Upper Lower,90,Linear Progression,30,6,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,10,"Generated from U000016 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000017,U000017,long017,Strength,Athletic Performance,Beginner,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,70,Double Progression,36,9,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,16,"Generated from U000017 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000018,U000018,vy018,General Fitness,Mobility and Flexibility,Advanced,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,75,RPE-Based,28,14,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000018 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000019,U000019,phuc019,Muscle Gain,Mobility and Flexibility,Beginner,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,6,Auto,30,Double Progression,72,12,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000019 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000020,U000020,khoa020,Fat Loss,Muscular Endurance,Beginner,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,5,Upper Lower,70,Auto,40,8,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,20,"Generated from U000020 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000021,U000021,tram021,Athletic Performance,Mobility and Flexibility,Advanced,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,5,Upper Lower,90,Linear Progression,25,5,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,10,"Generated from U000021 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000022,U000022,trang022,Muscle Gain,Athletic Performance,Advanced,8-Week Muscle Gain - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,6,Chest Back Legs,45,Double Progression,72,12,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000022 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000023,U000023,kai023,Athletic Performance,General Fitness,Beginner,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,50,Double Progression,45,15,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,18,"Generated from U000023 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000024,U000024,mai024,Muscular Endurance,Fat Loss,Intermediate,8-Week Muscular Endurance - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,60,RPE-Based,36,9,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,18,"Generated from U000024 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
PLAN000025,U000025,khoa025,Strength,Athletic Performance,Advanced,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,2,Push Pull Legs,75,Double Progression,34,17,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000025 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000026,U000026,phuc026,General Fitness,Fat Loss,Advanced,8-Week General Fitness - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,50,Double Progression,24,4.8,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,12,"Generated from U000026 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000027,U000027,mai027,Muscle Gain,Rehabilitation and Joint Health,Intermediate,8-Week Muscle Gain - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,40,Double Progression,27,6.75,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,9,"Generated from U000027 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000028,U000028,alex028,Mobility and Flexibility,Rehabilitation and Joint Health,Beginner,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,60,Linear Progression,48,12,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000028 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000029,U000029,trang029,Mobility and Flexibility,Strength,Intermediate,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,30,Double Progression,24,6,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,12,"Generated from U000029 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000030,U000030,ngoc030,Muscle Gain,General Fitness,Beginner,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,2,Auto,90,Auto,40,20,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,16,"Generated from U000030 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000031,U000031,quang031,General Fitness,Rehabilitation and Joint Health,Intermediate,8-Week General Fitness - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,45,Linear Progression,22,7.33,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,11,"Generated from U000031 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000032,U000032,vinh032,Fat Loss,Muscle Gain,Advanced,8-Week Fat Loss - Upper Lower,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,75,RPE-Based,42,14,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,21,"Generated from U000032 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000033,U000033,my033,Fat Loss,Muscular Endurance,Intermediate,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,75,RPE-Based,6,2,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,3,"Generated from U000033 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000034,U000034,river034,Mobility and Flexibility,Rehabilitation and Joint Health,Advanced,8-Week Mobility and Flexibility - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,6,Push Pull Legs,70,RPE-Based,76,12.67,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,38,"Generated from U000034 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000035,U000035,thao035,Muscle Gain,Muscular Endurance,Intermediate,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,2,Upper Lower,45,RPE-Based,12,6,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,4,"Generated from U000035 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000036,U000036,duc036,Strength,Muscle Gain,Beginner,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,4,Upper Lower,90,Auto,58,14.5,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,28,"Generated from U000036 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000037,U000037,mai037,Muscle Gain,Mobility and Flexibility,Intermediate,8-Week Muscle Gain - Full Body,Personalized,2026-08-10,2026-10-04,8,2,Full Body,60,Double Progression,42,21,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000037 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000038,U000038,minh038,Strength,Rehabilitation and Joint Health,Advanced,8-Week Strength - Body Part Split,Personalized,2026-08-10,2026-10-04,8,6,Body Part Split,60,Double Progression,59,9.83,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,23,"Generated from U000038 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
PLAN000039,U000039,thao039,Mobility and Flexibility,Rehabilitation and Joint Health,Advanced,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,30,Double Progression,32,8,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,16,"Generated from U000039 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000040,U000040,vinh040,Rehabilitation and Joint Health,Muscle Gain,Intermediate,8-Week Rehabilitation and Joint Health - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,70,Double Progression,44,11,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,22,"Generated from U000040 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
PLAN000041,U000041,kai041,Muscular Endurance,Fat Loss,Advanced,8-Week Muscular Endurance - Auto,Personalized,2026-08-10,2026-10-04,8,2,Body Part Split,75,Linear Progression,8,4,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,4,"Generated from U000041 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000042,U000042,phuc042,General Fitness,Fat Loss,Intermediate,8-Week General Fitness - Upper Lower,Personalized,2026-08-10,2026-10-04,8,4,Upper Lower,40,Double Progression,40,10,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,20,"Generated from U000042 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000043,U000043,son043,Athletic Performance,Strength,Advanced,8-Week Athletic Performance - Body Part Split,Personalized,2026-08-10,2026-10-04,8,3,Body Part Split,50,Double Progression,37,12.33,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000043 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000044,U000044,quang044,Muscular Endurance,Fat Loss,Advanced,8-Week Muscular Endurance - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,3,Chest Back Legs,70,RPE-Based,28,9.33,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,15,"Generated from U000044 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000045,U000045,phuong045,Rehabilitation and Joint Health,Mobility and Flexibility,Intermediate,8-Week Rehabilitation and Joint Health - Auto,Personalized,2026-08-10,2026-10-04,8,2,Push Pull Legs,30,Double Progression,16,8,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,8,"Generated from U000045 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
PLAN000046,U000046,son046,Athletic Performance,Strength,Advanced,8-Week Athletic Performance - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,4,Push Pull Legs,45,Linear Progression,52,13,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,18,"Generated from U000046 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000047,U000047,kai047,Muscle Gain,General Fitness,Advanced,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,4,Chest Back Legs,45,RPE-Based,48,12,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,16,"Generated from U000047 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000048,U000048,linh048,General Fitness,Muscle Gain,Beginner,8-Week General Fitness - Upper Lower,Personalized,2026-08-10,2026-10-04,8,6,Upper Lower,45,Auto,60,10,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000048 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000049,U000049,sam049,General Fitness,Mobility and Flexibility,Advanced,8-Week General Fitness - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,50,Linear Progression,16,3.2,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,8,"Generated from U000049 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000050,U000050,phuc050,Muscle Gain,Strength,Advanced,8-Week Muscle Gain - Auto,Personalized,2026-08-10,2026-10-04,8,2,Chest Back Legs,75,Linear Progression,42,21,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000050 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000051,U000051,user051,Fat Loss,Strength,Intermediate,8-Week Fat Loss - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,45,Auto,22,4.4,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,11,"Generated from U000051 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000052,U000052,user052,Fat Loss,Muscle Gain,Advanced,8-Week Fat Loss - Body Part Split,Personalized,2026-08-10,2026-10-04,8,6,Body Part Split,60,Auto,34,5.67,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,17,"Generated from U000052 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000053,U000053,user053,Muscle Gain,Fat Loss,Intermediate,8-Week Muscle Gain - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,5,Chest Back Legs,75,Double Progression,75,15,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,25,"Generated from U000053 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000054,U000054,user054,Athletic Performance,General Fitness,Advanced,8-Week Athletic Performance - Auto,Personalized,2026-08-10,2026-10-04,8,3,Push Pull Legs,75,Auto,55,18.33,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,21,"Generated from U000054 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000055,U000055,user055,Rehabilitation and Joint Health,Muscle Gain,Intermediate,8-Week Rehabilitation and Joint Health - Push Pull Legs,Personalized,2026-08-10,2026-10-04,8,4,Push Pull Legs,60,Auto,44,11,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,22,"Generated from U000055 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
PLAN000056,U000056,user056,Mobility and Flexibility,Muscular Endurance,Advanced,8-Week Mobility and Flexibility - Full Body,Personalized,2026-08-10,2026-10-04,8,5,Full Body,60,RPE-Based,68,13.6,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,35,"Generated from U000056 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000057,U000057,user057,Mobility and Flexibility,Rehabilitation and Joint Health,Beginner,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,2,Push Pull Legs,60,Linear Progression,24,12,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,12,"Generated from U000057 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000058,U000058,user058,Muscle Gain,Muscular Endurance,Advanced,8-Week Muscle Gain - Full Body,Personalized,2026-08-10,2026-10-04,8,4,Full Body,75,RPE-Based,93,23.25,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,32,"Generated from U000058 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000059,U000059,user059,Mobility and Flexibility,Athletic Performance,Intermediate,8-Week Mobility and Flexibility - Auto,Personalized,2026-08-10,2026-10-04,8,5,Body Part Split,90,Linear Progression,10,2,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,5,"Generated from U000059 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
